No,Title,Maker,Catalog_No,Release_date,Genre,Proper_price,yomi_ja,PRG-ROM,CHR-ROM,MAP,Memory,Serial_number,Rarity,Memo
598,キャデラック,ヘクト,HCT-C5/007,1990/2/2,PZL,4900,きゃでらっく,32K,32K,3,no,,,
599,SUPER魂斗羅（スーパーコントラ）,コナミ,KDS-UE,1990/2/2,ACT,5800,すーぱーこんとら,128K,128K,4,no,,B,
600,信長の野望 戦国群雄伝,光栄,KOE-NU,1990/2/3,SLG,11800,のぶながのやぼう せんごくぐんゆうでん,256K,128K,5,yes,,,
601,もっともあぶない刑事,東映動画,TDF-93,1990/2/6,ACT,5300,もっともあぶないけいじ,128K,0K,2,no,,,
602,ドラゴンクエストⅣ 導かれし者たち,エニックス,EFC-D4,1990/2/11,RPG,8500,どらごんくえすとⅣ みちびかれしものたち,512K,0K,1,yes,,,
603,アークティック,ポニーキャニオン,R55V5927(PNF-A9),1990/2/23,PZL,5500,あーくてぃっく,128K,0K,2,no,,,
604,キテレツ大百科,エポック社,EPO-KT,1990/2/23,ACT,5900,きてれつだいひゃっか,128K,128K,1,no,,,
605,デッドフォックス,カプコン,CAP-VP,1990/2/23,ACT,5800,でっどふぉっくす,128K,128K,4,no,,,
606,悪魔くん 魔界の罠,バンダイ,?,1990/2/24,RPG,5800,あくまくん まかいのわな,128K,128K,16,no,,,
607,ドラゴンユニット,アテナ,ATH-ZX,1990/2/27,ACT,5800,どらごんゆにっと,128K,0K,2,no,,,
608,西村京太郎ミステリー スーパーエクスプレス殺人事件,アイレム,IF-17(TIX-Z4),1990/3/2,ADV,6500,にしむらきょうたろうみすてりー すーぱーえくすぷれすさつじんじけん,128K,128K,4,no,17,,
609,プレジデントの選択,ホットビィ,GAM-B3-06,1990/3/2,SLG,9800,ぷれじでんとのせんたく,256K,0K,1,yes,,,
610,ヘビーバレル,データイースト,DFC-XH,1990/3/2,ACT,5800,へびーばれる,128K,128K,4,no,,,
611,ウィザードリィⅢ ダイヤモンドの騎士,アスキー,HSP-32,1990/3/9,RPG,6500,うぃざーどりぃⅢ だいやもんどのきし,128K,128K,4,yes,,,
612,ドンドコドン,タイトー,TFC-DD-5900,1990/3/9,ACT,5900,どんどこどん,128K,256K,33,no,30,,
613,モアイくん,コナミ,KDS-M9,1990/3/9,ACT,4800,もあいくん,32K,32K,3,no,,,
614,イメージファイト,アイレム,IF-14,1990/3/16,SHT,6500,いめーじふぁいと,128K,128K,32,no,14,,
615,仮面の忍者 花丸,カプコン,CAP-JE,1990/3/16,ACT,5800,かめんのにんじゃ はなまる,128K,128K,1,no,,,
616,怒Ⅲ,ケイアミューズメントリース,KAC-3D,1990/3/16,ACT,5600,いかりⅢ,128K,128K,1,no,,,
617,サンサーラナーガ,ビクター音楽産業,VFR-Q1-08,1990/3/23,RPG,7500,さんさーらなーが,256K,128K,4,yes,,,
